Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Region.1,longitude,latitude,Month,Year
11,2020-01-31,0,2.86,22688028,42.18,3,15.3173,75.7139,1,2020
11,2020-02-29,0,3.61,21677719,40.54,3,15.3173,75.7139,2,2020
11,2020-03-31,0,3.46,22079653,41.14,3,15.3173,75.7139,3,2020
11,2020-04-30,0,29.84,16718395,42.78,3,15.3173,75.7139,4,2020
11,2020-05-31,0,19.97,19397853,43.43,3,15.3173,75.7139,5,2020
11,2020-06-30,0,8.44,24215057,47.29,3,15.3173,75.7139,6,2020
11,2020-07-31,0,4.01,22885616,42.55,3,15.3173,75.7139,7,2020
11,2020-08-31,0,0.5,24094289,43.13,3,15.3173,75.7139,8,2020
11,2020-09-30,0,2.41,20127176,36.66,3,15.3173,75.7139,9,2020
11,2020-10-31,0,1.58,22356390,40.3,3,15.3173,75.7139,10,2020
12,2020-01-31,0,5.31,9904534,37.12,3,10.8505,76.2711,1,2020
12,2020-02-29,0,7.6,9828023,37.71,3,10.8505,76.2711,2,2020
12,2020-03-31,0,8.99,8221728,32.0,3,10.8505,76.2711,3,2020
12,2020-04-30,0,16.99,3933276,16.77,3,10.8505,76.2711,4,2020
12,2020-05-31,0,17.88,7921962,34.11,3,10.8505,76.2711,5,2020
12,2020-06-30,0,9.71,9228268,36.11,3,10.8505,76.2711,6,2020
12,2020-07-31,0,7.09,9504420,36.1,3,10.8505,76.2711,7,2020
12,2020-08-31,0,10.98,9031944,35.78,3,10.8505,76.2711,8,2020
12,2020-09-30,0,5.91,9240913,34.6,3,10.8505,76.2711,9,2020
12,2020-10-31,0,3.88,9152881,33.52,3,10.8505,76.2711,10,2020
13,2020-01-31,0,4.11,23018632,39.42,4,22.9734,78.6569,1,2020
13,2020-02-29,0,4.57,22711479,39.0,4,22.9734,78.6569,2,2020
13,2020-03-31,0,2.22,22867164,38.24,4,22.9734,78.6569,3,2020
13,2020-04-30,0,12.36,19041832,35.45,4,22.9734,78.6569,4,2020
13,2020-05-31,0,21.98,18443927,38.48,4,22.9734,78.6569,5,2020
13,2020-06-30,0,6.48,23054646,40.04,4,22.9734,78.6569,6,2020
13,2020-07-31,0,5.08,23940158,40.88,4,22.9734,78.6569,7,2020
13,2020-08-31,0,4.7,23619011,40.08,4,22.9734,78.6569,8,2020
13,2020-09-30,0,3.91,23341952,39.2,4,22.9734,78.6569,9,2020
13,2020-10-31,0,3.13,23144552,38.47,4,22.9734,78.6569,10,2020
14,2020-01-31,0,4.95,42596868,44.19,4,19.7515,75.7139,1,2020
14,2020-02-29,0,4.69,42416317,43.8,4,19.7515,75.7139,2,2020
14,2020-03-31,0,5.79,40196806,41.91,4,19.7515,75.7139,3,2020
14,2020-04-30,0,20.9,27689253,34.32,4,19.7515,75.7139,4,2020
14,2020-05-31,0,15.46,32116847,37.17,4,19.7515,75.7139,5,2020
14,2020-06-30,0,9.23,39708538,42.71,4,19.7515,75.7139,6,2020
14,2020-07-31,0,3.89,40998545,41.57,4,19.7515,75.7139,7,2020
14,2020-08-31,0,6.23,40963616,42.49,4,19.7515,75.7139,8,2020
14,2020-09-30,0,4.55,42042911,42.75,4,19.7515,75.7139,9,2020
14,2020-10-31,0,4.1,43317881,43.75,4,19.7515,75.7139,10,2020
15,2020-01-31,0,1.66,1491093,65.49,2,25.467,91.3662,1,2020
15,2020-02-29,0,3.59,1346829,60.2,2,25.467,91.3662,2,2020
15,2020-03-31,0,1.58,1482351,64.74,2,25.467,91.3662,3,2020
15,2020-04-30,0,10.03,965057,45.99,2,25.467,91.3662,4,2020
15,2020-05-31,0,5.92,1215064,55.24,2,25.467,91.3662,5,2020
15,2020-06-30,0,1.15,1350794,58.31,2,25.467,91.3662,6,2020
15,2020-07-31,0,2.1,1448106,62.96,2,25.467,91.3662,7,2020
15,2020-08-31,0,3.74,1357643,59.88,2,25.467,91.3662,8,2020
15,2020-09-30,0,4.29,1459726,64.6,2,25.467,91.3662,9,2020
15,2020-10-31,0,4.6,1381490,61.18,2,25.467,91.3662,10,2020
16,2020-01-31,0,1.9,13743448,39.44,0,20.9517,85.0985,1,2020
16,2020-02-29,0,3.12,14280735,41.44,0,20.9517,85.0985,2,2020
16,2020-03-31,0,13.08,12272109,39.62,0,20.9517,85.0985,3,2020
16,2020-04-30,0,23.76,6865693,25.23,0,20.9517,85.0985,4,2020
16,2020-05-31,0,11.41,11730937,37.04,0,20.9517,85.0985,5,2020
16,2020-06-30,0,3.77,12903993,37.45,0,20.9517,85.0985,6,2020
16,2020-07-31,0,1.88,13614400,38.69,0,20.9517,85.0985,7,2020
16,2020-08-31,0,1.42,14154039,39.96,0,20.9517,85.0985,8,2020
16,2020-09-30,0,2.1,13608422,38.63,0,20.9517,85.0985,9,2020
16,2020-10-31,0,2.18,14094553,39.98,0,20.9517,85.0985,10,2020
17,2020-01-31,0,0.58,457950,37.46,3,11.9416,79.8083,1,2020
17,2020-02-29,0,1.76,493961,40.8,3,11.9416,79.8083,2,2020
17,2020-03-31,0,1.2,421028,34.49,3,11.9416,79.8083,3,2020
17,2020-04-30,0,75.85,117542,39.3,3,11.9416,79.8083,4,2020
17,2020-05-31,0,58.19,172308,33.19,3,11.9416,79.8083,5,2020
17,2020-06-30,0,4.24,367135,30.8,3,11.9416,79.8083,6,2020
17,2020-07-31,0,15.47,386563,36.64,3,11.9416,79.8083,7,2020
17,2020-08-31,0,5.05,396006,33.34,3,11.9416,79.8083,8,2020
17,2020-09-30,0,10.9,411717,36.84,3,11.9416,79.8083,9,2020
17,2020-10-31,0,6.18,428419,36.32,3,11.9416,79.8083,10,2020
18,2020-01-31,0,11.11,9442093,42.82,1,31.1471,75.3412,1,2020
18,2020-02-29,0,10.97,9229047,41.72,1,31.1471,75.3412,2,2020
18,2020-03-31,0,10.32,9975485,44.69,1,31.1471,75.3412,3,2020
18,2020-04-30,0,2.86,7020565,28.99,1,31.1471,75.3412,4,2020
18,2020-05-31,0,28.33,6872938,38.39,1,31.1471,75.3412,5,2020
18,2020-06-30,0,16.55,8390766,40.18,1,31.1471,75.3412,6,2020
18,2020-07-31,0,9.19,9732417,42.76,1,31.1471,75.3412,7,2020
18,2020-08-31,0,10.99,9386169,41.99,1,31.1471,75.3412,8,2020
18,2020-09-30,0,9.61,8980432,39.5,1,31.1471,75.3412,9,2020
18,2020-10-31,0,9.88,8800430,38.75,1,31.1471,75.3412,10,2020
19,2020-01-31,0,10.97,20641716,40.51,1,27.0238,74.2179,1,2020
19,2020-02-29,0,15.16,20328915,41.77,1,27.0238,74.2179,2,2020
19,2020-03-31,0,11.9,20024680,39.54,1,27.0238,74.2179,3,2020
19,2020-04-30,0,17.7,15984142,33.71,1,27.0238,74.2179,4,2020
19,2020-05-31,0,15.74,19826602,40.74,1,27.0238,74.2179,5,2020
19,2020-06-30,0,14.39,20506612,41.38,1,27.0238,74.2179,6,2020
19,2020-07-31,0,15.81,19932393,40.8,1,27.0238,74.2179,7,2020
19,2020-08-31,0,17.51,20014060,41.71,1,27.0238,74.2179,8,2020
19,2020-09-30,0,15.35,20149594,40.83,1,27.0238,74.2179,9,2020
19,2020-10-31,0,24.15,19908808,44.92,1,27.0238,74.2179,10,2020
20,2020-03-31,0,23.57,262895,60.59,2,27.533,88.5122,3,2020
20,2020-04-30,0,2.28,215303,38.7,2,27.533,88.5122,4,2020
20,2020-05-31,0,24.51,193427,44.88,2,27.533,88.5122,5,2020
20,2020-06-30,0,4.46,221058,40.4,2,27.533,88.5122,6,2020
20,2020-07-31,0,4.45,265175,48.32,2,27.533,88.5122,7,2020
20,2020-08-31,0,12.49,244462,48.49,2,27.533,88.5122,8,2020
20,2020-09-30,0,5.7,231798,42.54,2,27.533,88.5122,9,2020
20,2020-10-31,0,0.88,242068,42.13,2,27.533,88.5122,10,2020
21,2020-01-31,0,1.57,26881641,41.96,3,11.1271,78.6569,1,2020
21,2020-02-29,0,2.09,27570589,43.2,3,11.1271,78.6569,2,2020
21,2020-03-31,0,6.4,26830768,43.91,3,11.1271,78.6569,3,2020
21,2020-04-30,0,49.83,9719167,29.63,3,11.1271,78.6569,4,2020
21,2020-05-31,0,33.16,11483256,26.23,3,11.1271,78.6569,5,2020
21,2020-06-30,0,12.2,19096847,33.16,3,11.1271,78.6569,6,2020
21,2020-07-31,0,6.81,24572827,40.13,3,11.1271,78.6569,7,2020
21,2020-08-31,0,2.65,27046415,42.22,3,11.1271,78.6569,8,2020
21,2020-09-30,0,5.0,23025845,36.77,3,11.1271,78.6569,9,2020
21,2020-10-31,0,2.16,23651626,36.62,3,11.1271,78.6569,10,2020
22,2020-01-31,0,5.49,17609295,59.25,3,18.1124,79.0193,1,2020
22,2020-02-29,0,8.29,16825970,58.24,3,18.1124,79.0193,2,2020
22,2020-03-31,0,5.77,17341613,58.31,3,18.1124,79.0193,3,2020
22,2020-04-30,0,6.25,12172230,41.06,3,18.1124,79.0193,4,2020
22,2020-05-31,0,14.7,14977774,55.43,3,18.1124,79.0193,5,2020
22,2020-06-30,0,10.55,15108910,53.22,3,18.1124,79.0193,6,2020
22,2020-07-31,0,5.36,15679417,52.1,3,18.1124,79.0193,7,2020
22,2020-08-31,0,5.79,18185429,60.59,3,18.1124,79.0193,8,2020
22,2020-09-30,0,3.27,16961448,54.94,3,18.1124,79.0193,9,2020
22,2020-10-31,0,2.86,17578739,56.58,3,18.1124,79.0193,10,2020
23,2020-01-31,0,32.67,1508130,69.69,2,23.9408,91.9882,1,2020
23,2020-02-29,0,28.4,1584686,68.74,2,23.9408,91.9882,2,2020
23,2020-03-31,0,29.95,1511217,66.89,2,23.9408,91.9882,3,2020
23,2020-04-30,0,41.23,971514,51.16,2,23.9408,91.9882,4,2020
23,2020-05-31,0,21.51,1290986,50.81,2,23.9408,91.9882,5,2020
23,2020-06-30,0,21.71,1494140,58.85,2,23.9408,91.9882,6,2020
23,2020-07-31,0,18.24,1348849,50.78,2,23.9408,91.9882,7,2020
23,2020-08-31,0,27.92,1318621,56.21,2,23.9408,91.9882,8,2020
23,2020-09-30,0,17.35,1368244,50.77,2,23.9408,91.9882,9,2020
23,2020-10-31,0,11.57,1576529,54.58,2,23.9408,91.9882,10,2020
24,2020-01-31,0,7.58,59433759,39.63,1,26.8467,80.9462,1,2020
24,2020-02-29,0,8.98,58060531,39.23,1,26.8467,80.9462,2,2020
24,2020-03-31,0,10.11,56976338,38.89,1,26.8467,80.9462,3,2020
24,2020-04-30,0,21.54,50915056,39.73,1,26.8467,80.9462,4,2020
24,2020-05-31,0,20.41,49801902,38.22,1,26.8467,80.9462,5,2020
24,2020-06-30,0,9.47,55380649,37.29,1,26.8467,80.9462,6,2020
24,2020-07-31,0,5.56,56201654,36.19,1,26.8467,80.9462,7,2020
24,2020-08-31,0,5.79,55831744,35.96,1,26.8467,80.9462,8,2020
24,2020-09-30,0,4.18,56106836,35.45,1,26.8467,80.9462,9,2020
24,2020-10-31,0,3.75,56539521,35.49,1,26.8467,80.9462,10,2020
25,2020-01-31,0,5.49,2711639,32.99,1,30.0668,79.0193,1,2020
25,2020-02-29,0,4.99,3020931,36.48,1,30.0668,79.0193,2,2020
25,2020-03-31,0,19.85,2539302,36.27,1,30.0668,79.0193,3,2020
25,2020-04-30,0,6.48,2720115,33.23,1,30.0668,79.0193,4,2020
25,2020-05-31,0,8.01,2694072,33.38,1,30.0668,79.0193,5,2020
25,2020-06-30,0,8.61,2656071,33.06,1,30.0668,79.0193,6,2020
25,2020-07-31,0,12.38,2938552,38.07,1,30.0668,79.0193,7,2020
25,2020-08-31,0,14.26,2717528,35.9,1,30.0668,79.0193,8,2020
25,2020-09-30,0,22.26,2695230,39.18,1,30.0668,79.0193,9,2020
25,2020-10-31,0,9.23,2739309,34.03,1,30.0668,79.0193,10,2020
26,2020-01-31,0,6.94,35820789,47.35,0,22.9868,87.855,1,2020
26,2020-02-29,0,4.92,36964178,47.74,0,22.9868,87.855,2,2020
26,2020-03-31,0,6.92,35903917,47.27,0,22.9868,87.855,3,2020
26,2020-04-30,0,17.41,26938836,39.9,0,22.9868,87.855,4,2020
26,2020-05-31,0,17.41,28356675,41.92,0,22.9868,87.855,5,2020
26,2020-06-30,0,7.29,30726310,40.39,0,22.9868,87.855,6,2020
26,2020-07-31,0,6.83,35372506,46.17,0,22.9868,87.855,7,2020
26,2020-08-31,0,14.87,33298644,47.48,0,22.9868,87.855,8,2020
26,2020-09-30,0,9.35,35707239,47.73,0,22.9868,87.855,9,2020
26,2020-10-31,0,9.98,33962549,45.63,0,22.9868,87.855,10,2020
